Company,Recipient,Export Description,Year Ordered,Year Delievered,Currency,Value Original Currency (m),Value (AUDm),Number Ordered,Number Delivered,Domain,Category,Source,Current or prior ADF-use,Export before ADF-use,Donation
Government Aircraft Factories and 200 sub-contractors,"Royal Navy, Brazilian Navy, Chilean Navy and Royal NZ Navy",Ikara anti-submarine missiles,1970,1977,-,-,-,-,-,Sea,Platform,Link,Y,N,N
Australian Shipbuilding Industries,"Donated by Australia to PNG, Fiji, Federated States of Micronesia, Tonga, Solomon Islands, Cook Islands, Kiribati, Marshall Islands, Palau, West Samoa, Tuvalu and Vanuatu",Pacific-class patrol boat construction,1985,1997,AUD,155,155,22,22,Sea,Platform,Link,N,Y,Y
"AMECON, a subsidary of Transfeld Shipbuilding, later Tenix Defence Marine Division",Royal NZ Navy,ANZAC Frigate construction,1989,1999,USD,750,"1,035",2,2,Sea,Platform,Link,Y,N,N
Transfield Shipbuilding,Royal Brunei Navy,Serasa-class landing craft construction,1996,1997,-,-,-,2,2,Sea,Platform,Link,N,Y,N
Western Australian Specialty Alloys,Pratty and Whitney,Melting of the powder alloy IN100 and later melting IN100 for the F135 engine,1998,-,-,-,-,-,-,Air,Subcomponent and service,Link,Y,Y,N
"BAE Systems Australia, subcontractors include Milspec Engineering, Thales Australia and Varley",US and Canada,Nulka active missile decoys,1999,2010,AUD,-,-,-,"1,000",Sea,"Platform, ammunition and software",Link,Y,N,N
"BAE Systems Australia, Aerodynamic Control Fins, Australian Aerospace Composites and Thrust Vector Controllers",NATO Seasparrow Consortium and third-party nations,Evolved Sea Sparrow Missiles Block I guidance software and other components,2000,2014,AUD,370,370,-,-,Sea,Subcomponent and software,Link,Y,N,N
Austal Ltd,US Marine Corps,Chartering of a 101 metre high speed Theatre Logistics Vessels,2001,2016,-,-,-,1,1,Sea,Service,Link,N,Y,N
"Incat Australia, in a strategic alliance with Bollinger Shipyard (US)",US,Leasing of 96-metre Catamaran,2001,2001,-,-,-,-,-,Sea,Service,Link,N,Y,N
"Incat Australia, in a strategic alliance with Bollinger Shipyard (US)",US Army,Leasing of 98-metre Theatre Support Vessel,2002,2002,-,-,-,-,-,Sea,Service,Link,N,Y,N
Austal Ltd,Kuwait ,22-metre coast guard vessels construction,2003,2004,-,-,-,3,3,Sea,Platform,Link,N,Y,N
Austal Ltd,Yemen,37.5-metre high-speed patrol boats construction,2003,2004,AUD,90,90,10,10,Sea,Platform,Link,N,Y,N
GKN Aerospace Services (Australia),Multiple F-35 Joint Strike Fighter Program members,"Design, analysis and manufacturing of metal and compostive JSF centre fuselage components. In addition, product Data Management mode and analysis services for the F-35",2003,2008,AUD,-,-,-,-,Air ,Service and subcomponent,Link,Y,Y,N
"Incat Australia, in a strategic alliance with Bollinger Shipyard (US)",USN,"98-metre vessel, HSV 2 Swift construction",2003,2003,-,-,-,-,-,Sea,Platform,Link,N,Y,N
Marand Precision Engineering,Multiple F-35 Joint Strike Fighter Program members,Design and manufacturing of Cue and Trim Tooling for the manufacture of composite conventional edges for the F-35.,2003,2007,-,-,-,-,-,Air,Subcomponent,Link,Y,Y,N
"Marand Precision Engineering, part of the contract subcontracted to AW Bell",Multiple F-35 Joint Strike Fighter Program members. Long-term contract awarded by Lockheed Martin,JSF Engine Removal and Installation Trailers. AW Bell produce 19 different precision-machined components for the trailer. ,2003,2005,-,-,-,7,7,Air,Subcomponent,Link,Y,Y,N
BAE Systems Australia,Multiple F-35 Joint Strike Fighter Program members,F-35 Wiring boards and assemblies as well as cable assesmlies and selected electronic components,2004,-,-,-,-,-,-,Air,Subcomponent,Link,Y,Y,N
Calbex,Multiple F-35 Joint Strike Fighter Program members. Long-term contract signed with Northrop Grumman,Semi-rigid radio frequency cables for the F-35,2004,-,-,-,-,-,-,Air,Subcomponent,Link,Y,Y,N
Rosebank Engineering (RUAG Australia),Multiple F-35 Joint Strike Fighter Program members,Uplock manufacturing and assemply program for the F-35 with uplock actuator assemblies for the weapons bay door for the F-35A conventional variant,2004,-,-,-,-,-,-,Air,Subcomponent,Link,Y,Y,N
Seabird Aviation Australia in cooperation with Seabird Aviation Jordan,Iraq,"Assembly kits for the SB7L/360 Seeker, including mainteance, training and support services",2004,2004,AUD,2.8,2.8,2,2,Air,Platform and service,Link,N,Y,N
"Tenix Defence, later BAE Systems",Canada,"Orca-class patrol vessel design, built under license in Canada",2004,2008,CAD,90.7,64.4,8,8,Sea,Platform,Link,N,Y,N
"Tenix Defence, later BAE Systems",Royal NZ Navy,"Part of Project Protector, partly produced in NZ and assembled in Australia. 1,600-tonne Protector (or Otago)-class off-shore patrol vessels",2004,2010,NZD,500,425,2,2,Sea,Platform and subcomponent,Link,N,Y,N
"Tenix Defence, later BAE Systems",Royal NZ Navy,"Part of Project Protector, built under license in NZ. 340-tonne Lake-class inshore patrol vessels",2004,2009,NZD,Tied into the Protector-class contract,Tied into the Protector-class contract,4,4,Sea,Platform,Link,N,Y,N
Thornycroft Maritime and Associates,India,"26m Patrol boat construction, later the Rani Abbakka-class patrol vessel",2004,2011,-,-,-,11,11,Sea,Platform,Link,N,Y,N
Varley Group,Multiple F-35 Joint Strike Fighter Program members,F-35 Landing Gear Handling System (LGHS),2004,-,-,-,-,-,-,Air,Subcomponent,Link,Y,Y,N
"Hawker De Haviland Australia (later Hawker de Haviland Aerospace, then Boeing Aerostructures Australia, a subsidary of Boeing Australia)",Multiple F-35 Joint Strike Fighter Program members,Composite parts and subassemblies for the F-35 JSF center fuselage,2005,,USD,70,86.8,-,-,Air,Subcomponents,Link,Y,Y,N
KBR Government Services Asia-Pacific (Canberra Branch),Multiple F-35 Joint Strike Fighter Program members. Contract awarded by Northorp Grumman,Global F-35 training and courseware development,2005,-,-,-,-,-,-,Air,Service,Link,Y,Y,N
Varley Group,Multiple F-35 Joint Strike Fighter Program members. Contract awarded by Northrop Grumman,F-35 Aircraft Maintenance Sling,2005,-,-,-,-,-,-,Air,Subcomponent,Link,Y,Y,N
Varley Group,Multiple F-35 Joint Strike Fighter Program members. Contract awarded by Lockheed Martin,F-35 Canopy Maintenance Sling,2005,-,-,-,-,-,-,Air,Subcomponent,Link,Y,Y,N
Ferra Engineering,Multiple F-35 Joint Strike Fighter Program members,Weapon adapter assemblies for the F-35,2006,-,AUD ,-,-,-,-,Air,Subcomponent,Link,Y,Y,N
Lovitt Technologies,Multiple F-35 Joint Strike Fighter Program members. Contract awarded by Lockheed Martin,"F-35 subcomponent parts, including engine mounts and parts for the jet's floor",2006,-,-,-,-,-,5500,Air,Subcomponent,Link,Y,Y,N
Seabird Aviation Australia in cooperation with Seabird Aviation Jordan,Jordan,Assembly kits for the SB7L/360 Seeker,2006,2011,-,-,-,6,6,Air,Platform,Link,N,Y,N
Thales Australia,The Netherlands,Bushmaster troop carriers,2006,-,-,-,-,86,86,Land,Platform,Link,Y,N,N
Collins Aerospace Australia,Multiple F-35 Joint Strike Fighter Program members,"360-degree situational awareness system for the F-35, also known as Electro-Optical Distributed Aperture Systems",2007,-,-,-,-,-,1000,Air,Subcomponent and software,Link,Y,Y,N
BAE Systems Australia,Multiple F-35 Joint Strike Fighter Program members,F-35 Corrosion Management Systems,2008,-,-,-,-,-,-,Air,Subcomponent and software,Link,Y,Y,N
Electromold,Multiple F-35 Joint Strike Fighter Program members. Contract awarded by Lockheed Martin,F-35 aerospace chemical processing,2008,-,-,-,-,-,-,Air,Subcomponent and service,Link,Y,Y,N
Levett Engineering,Multiple F-35 Joint Strike Fighter Program members. Contract awarded by Lockheed Martin,Machining second and third-stage turbine vane transfer tubes and covers for all variants of the F135 engine for the F-35,2008,-,-,-,-,-,-,Air,Subcomponent,Link,Y,Y,N
Levett Engineering,Multiple F-35 Joint Strike Fighter Program members. Contract awarded by BAE Systems possibly,Components for the F-35's active inceptor system,2008,-,-,-,-,-,-,Air,Subcomponent,Link,Y,Y,N
Rosebank Engineering (RUAG Australia),Multiple F-35 Joint Strike Fighter Program members,Landing gear manufacture and assembly program began with four actuator types for CF-1 for the F-35C Carrier variant,2008,-,-,-,-,-,-,Air,Subcomponent,Link,Y,Y,N
Thales Australia,British Ministry of Defence,Bushmaster troop carriers,2008,-,AUD,33,33,24,24,Land,Platform,Link,Y,N,N
Austal Ltd,Malta,P-21-class inshore patrol boat construction,2009,2009,AUD,18,18,4,4,Sea,Platform,Link,N,Y,N
Electro Optic Systems (EOS) Holdings,Singapore,"R-600 remote weapon systems, spares and support services for the Terrex APC",2009,2013,AUD,53,53,300,300,Land,Subcomponent and service,Link,N,Y,N
Rosebank Engineering (RUAG Australia),Multiple F-35 Joint Strike Fighter Program members,Landing gear manufacture and assembly program continued with four new actuator types for the F-35A and F-35B Short Take-Off and Vertical Landing variants,2009,-,-,-,-,-,-,Air,Subcomponent,Link,Y,Y,N
Broens Industries,Multiple F-35 Joint Strike Fighter Program members. Contract awarded by Pratt and Whitney,The development and manufacturing of ground support equipment for the F135 engine program,2010,-,USD,7,8.54,-,-,Air,Subcomponent,Link,Y,Y,N
Ferra Engineering,Multiple F-35 Joint Strike Fighter Program members,Titanium spars for the F-35's vertical tails,2010,-,-,-,-,-,-,Air,Subcomponent,Link,Y,Y,N
Heat Treatment Australia,Multiple F-35 Joint Strike Fighter Program members,"Heat treatment of F-35 components, including support services.",2010,-,-,-,-,-,-,Air,Service and subcomponent,Link,Y,Y,N
