Transfers of major conventional arms from All countries  to Australia  . Deals with deliveries made for the year range 'Not specified' to 'Not specified' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 29 Aug 2025 3:01:25 AM
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Australia,United States,2018,?,3900,?,GBU-53/B StormBreaker,guided glide bomb,0,,,New,For F-35A combat aircraft,0,0,0
Australia,United States,2021,,200,?,AGM-158C LRASM,anti-ship missile,0,,,New,For F/A-18F combat aircraft,0,0,0
Australia,United States,2024,?,100,?,AGM-88E AARGM,anti-radar missile,0,,,New,,0.6,60,0
Australia,Canada,1989,,1,,Piranha-2,armoured personnel carrier,1,,1991,Second hand,Second-hand; part of AUD25 m ($17-19 m) 'Project Land-112 Phase-1' or 'ASLAV programme Phase-1'; LAV(R) (LAV-25) recovery version; Australian designation ASLAV,0.12,0.12,0.12
Australia,United States,2016,?,2950,?,GBU-39 SDB,guided glide bomb,2350,?,2019; 2020; 2021; 2022; 2023; 2024,New,For F-35A combat aircraft,0.02,59,47
Australia,Austria,2016,,6,,Camcopter S-100,UAV,6,?,2017; 2018,New,AUD16 m ($12 m) 'Navy Minor Project 1942' 3-year lease (extended 2021 for 3 more years),0.2,1.2,1.2
Australia,United States,1992,,33,,LAV-25 turret,infantry fighting vehicle turret,33,?,1994; 1995; 1996,New,For 33 Piranha-2 (LAV-25 or ASLAV) infantry fighting vehicles from Canada,0.6,19.8,19.8
Australia,United States,2023,?,,,PrSM,surface-to-surface missile,0,,,New,For HIMARS multiple rocket launchers,0,0,0
Australia,United States,1982,,100,?,GBU-15,guided bomb,100,?,1984,New,For F-111C combat aircraft,0.02,2,2
Australia,United States,2022,,12,,MH-60R Seahawk,anti-submarine helicopter,0,,,New,Delivery planned 2025-2026,16.5,198,0
Australia,United States,2019,?,2,,G-550 SIGINT,signals intelligence aircraft,0,,,New,Part of $1.6 b 'Project Air-555'; Australian designation MC-55A Peregrine,0,0,0
Australia,United Kingdom,1971,,2,,Oberon,submarine,2,,1977; 1978,New,Australian designation Oxley,75,150,150
Australia,Germany,2020,?,24,,ship engine,ship engine,0,,,New,MTU diesel engine for 6 Hunter frigates from United Kingdom,1.5,36,0
Australia,United States,2023,,6,,Mk-45-4 127mm,naval gun,0,,,New,For 6 Hunter frigates from United Kingdom,7.5,45,0
Australia,Canada,1992,,64,,Piranha-2,armoured personnel carrier,64,?,1994; 1995; 1996,New,Part of $88 m 'Project Land-112 Phase-2' or 'ASLAV programme Phase-2'; most assembled from kits or produced under licence in Australia; incl 2 ambulance; 10 recovery; 9 command post and 10 radar reconnaissance versions; Australian designation ASLAV,0.27,17.28,17.28
