Transfers of major conventional arms from Australia   to All countries . Deals with deliveries made for the year range 'Not specified' to 'Not specified' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 28 Aug 2025 4:07:21 AM
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Brazil,Australia,1972,,50,?,Ikara,anti-submarine missile,50,?,1976; 1977; 1978; 1979; 1980,New,For 4 Niteroi frigates; Ikara-3 version,0.6,30,30
Brunei,Australia,1995,,2,,Teraban,landing craft,2,,1996,New,,4.9,9.8,9.8
Cambodia,Australia,1971,?,6,,C-47 Skytrain,transport aircraft,6,,1972,Second hand,Second-hand; aid,1,6,6
Canada,Australia,2018,,18,,F/A-18C Hornet,FGA aircraft,18,?,2019; 2020; 2021,Second hand,Second-hand (7 more delivered for spare parts),15,270,270
Canada,Australia,2004,,8,,Orca,patrol boat,8,,2006; 2007; 2008,New,CAD91 m deal; produced under licence in Canada; mainly for use as training ship,8.5,68,68
Chad,Australia,1983,,1,,C-130B Hercules,transport aircraft,1,,1983,Second hand,Second-hand C-130A version (financed by France),9.2,9.2,9.2
Chile,Australia,2019,,2,,Perry,frigate,2,,2020,Second hand,Second-hand; Adelaide version; Chilean designation Latorre,120,240,240
Chile,Australia,2020,?,16,?,Standard Missile-2MR,SAM,16,?,2020,Second hand,Second-hand; for Perry (Adelaide or Latorre) frigates,0.12,1.92,1.92
Fiji,Australia,2024,,14,,Bushmaster,armoured personnel carrier,14,,2024,Second hand,Second-hand; for Fiji forces in UN peacekeeping operations,0.14,1.96,1.96
Fiji,Australia,2024,,1,,Guardian,patrol boat,1,,2024,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme (replacing a ship lost 2024 shortly after delivery),7,7,7
Fiji,Australia,2017,,10,,Bushmaster,armoured personnel carrier,10,,2017,Second hand,Second-hand; for Fiji forces in UN peacekeeping operations (in Golan/Syria),0.14,1.4,1.4
Fiji,Australia,2014,,2,,Guardian,patrol boat,2,,2020; 2024,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme; Fijian designation Savenaca,7,14,14
Fiji,Australia,1992,,3,,ASI-315,patrol boat,3,,1994; 1995,New,'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Fijian designation Kula,6,18,18
Germany,Australia,2024,,103,,Boxer,infantry fighting vehicle,0,,,New,Schwerer Waffenträger Infanterie version; German design produced in Australia for Germany (incl components from Germany); delivery planned 2026-2030,1.7,175.1,0
Ghana,Australia,2004,,2,,SB7L-360 Seeker,light aircraft,2,?,2006,New,From Jordanian production line,0.11,0.22,0.22
India,Australia,2004,?,11,,Thornycroft 26m,patrol boat,11,?,2006; 2007; 2008; 2009; 2010; 2011,New,For coast guard,8.3,91.3,91.3
India,Australia,2001,?,2,,Thornycroft 26m,patrol boat,2,,2002,New,Assembled from kits in India; for coast guard,8.3,16.6,16.6
India,Australia,1970,?,10,,Canberra B-2,bomber aircraft,10,?,1970; 1971,Second hand,Second-hand; Canberra B(-20 version,3.4,34,34
Indonesia,Australia,2013,,4,,C-130H Hercules,transport aircraft,4,?,2013; 2014; 2015,Second hand but modernized,Second-hand but modernized for AUD63 m before delivery; aid,18.48,73.92,73.92
Indonesia,Australia,2013,,3,,Bushmaster,armoured personnel carrier,3,,2014,New,AUD2.7 m deal,0.32,0.96,0.96
Indonesia,Australia,2023,,15,,Bushmaster,armoured personnel carrier,15,,2023,Second hand,Second-hand; aid for Indonesia forces in UN peacekeeping operations,0.14,2.1,2.1
Indonesia,Australia,1977,,6,,Nomad Searchmaster-B,maritime patrol aircraft,6,,1978; 1979,New,Aid,2,12,12
Indonesia,Australia,1968,?,2,,Cessna-411,light transport aircraft,2,,1969,Second hand,Second-hand; Cessna-402 version,0.38,0.76,0.76
Indonesia,Australia,2015,?,5,,C-130H Hercules,transport aircraft,5,?,2016; 2017,Second hand,Second-hand,11.2,56,56
Indonesia,Australia,1977,,12,,Bell-47/OH-13,light helicopter,12,,1978,Second hand,Second-hand; aid worth $1.1 m; Bell-47G-3B-1 version,0.1,1.15,1.15
Indonesia,Australia,1972,,16,?,F-86 Sabre,fighter aircraft,16,?,1973,Second hand,Second-hand; $12 m aid; CAC-27/Sabre Mk-32 version,1.4,22.4,22.4
Indonesia,Australia,1973,,2,,C-47 Skytrain,transport aircraft,2,,1973,Second hand,Second-hand; aid,1,2,2
Indonesia,Australia,1973,,6,,Nomad,light transport aircraft,6,,1975; 1976,New,Aid; Searchmaster-B version,1.5,9,9
Indonesia,Australia,1972,?,2,,Attack,patrol boat,2,,1973; 1974,Second hand,Second-hand; aid; Indonesian designation Sibarau,2.4,4.8,4.8
Indonesia,Australia,1981,?,3,,Attack,patrol boat,3,,1982; 1983,Second hand but modernized,Second-hand but modernized before delivery; Indonesian designation Sibarau,3.96,11.88,11.88
Indonesia,Australia,1967,?,5,,Cessna-411,light transport aircraft,5,,1969,Second hand,Second-hand; Cessna-411 version,0.38,1.9,1.9
Indonesia,Australia,1967,?,2,?,Cessna-310,light transport aircraft,2,,1969,Second hand,Second-hand,0.14,0.28,0.28
Indonesia,Australia,1968,?,5,,Cessna-207,light transport aircraft,5,,1970,Second hand,Second-hand; $0.33 m deal,0.1,0.48,0.48
Indonesia,Australia,1984,?,3,,Attack,patrol boat,3,,1985; 1986,Second hand but modernized,Second-hand but modernized before delivery; Indonesian designation Sibarau,3.96,11.88,11.88
Indonesia,Australia,1996,,16,?,Nomad,light transport aircraft,16,?,1997,Second hand,Second-hand; AUD2 m deal; incl N-22B and N-24A version,0.6,9.6,9.6
Indonesia,Australia,1996,,3,?,Nomad,light transport aircraft,3,?,1997,New,,1.5,4.5,4.5
Indonesia,Australia,2001,,4,?,Nomad Searchmaster-L,maritime patrol aircraft,4,,2003,Second hand,Second-hand; incl 2 N-24 version,2,8,8
Indonesia,Australia,1980,,6,,Nomad Searchmaster-L,maritime patrol aircraft,6,,1981; 1982,New,Aid,2.5,15,15
Iraq,Australia,2004,,2,,SB7L-360 Seeker,light aircraft,2,,2004,New,AUD2.8 m ($2 m) deal; ordered via and assembled in Jordan,0.11,0.22,0.22
Jamaica,Australia,2013,,12,,Bushmaster,armoured personnel carrier,12,?,2015; 2016,New,,0.32,3.84,3.84
Jamaica,Australia,2020,,6,,Bushmaster,armoured personnel carrier,6,?,2021,New,Incl 3 ambulance version,0.32,1.92,1.92
Japan,Australia,2017,?,4,,Bushmaster,armoured personnel carrier,4,,2018,New,,0.32,1.28,1.28
Japan,Australia,2014,,4,,Bushmaster,armoured personnel carrier,4,,2014,New,AUD3.6 m ($2.7 m) deal,0.32,1.28,1.28
Jordan,Australia,2006,,6,,SB7L-360 Seeker,light aircraft,6,?,2006,New,Assembled from kits,0.11,0.66,0.66
Kuwait,Australia,1991,,2,,OPV-310,patrol boat,2,,1993,New,Kuwaiti designation Inttisar,7.5,15,15
Kuwait,Australia,1992,,2,,OPV-310,patrol boat,2,,1993,New,Kuwaiti designation Inttisar,7.5,15,15
Kuwait,Australia,1997,,22,,S-600,armoured personnel carrier,22,,1997; 1998,New,$12 m deal; for National Guard,0.18,3.96,3.96
Laos,Australia,1970,?,3,,C-47 Skytrain,transport aircraft,3,,1971,Second hand,Second-hand; aid,1,3,3
Lesotho,Australia,2003,?,1,,GA-8 Airvan,light transport aircraft,1,,2004,New,,0.24,0.24,0.24
Malaysia,Australia,2000,?,3,,Eagle-ARV,light aircraft/UAV,3,,2001,New,For 1 Eagle-ARV UAV system,0.23,0.69,0.69
Malaysia,Australia,1970,?,6,,F-86 Sabre,fighter aircraft,6,,1971,Second hand but modernized,Second-hand but modernized before delivery; aid; CAC-27/Sabre Mk-32 version,2.31,13.86,13.86
